Host Material,MPID,Defect,Defect Level (eV),Charge States (q/q'),Reference Energy,Type of Defect,(Exp/Th),Reference,Ref. Comments,Additional Comments
Al2O3,1143,H,4.953,(-/+),Valence Band,Interstitial,Th,https://doi.org/10.1016/j.tsf.2005.08.175,From Fig. 5c,
Al2O3,1143,O,2.880,(0/2+),Valence Band,Vacancy,Th,https://doi.org/10.2320/matertrans.43.1426,From Table 1,
Al2O3,1143,O,3.070,(+/2+),Valence Band,Vacancy,Th,https://doi.org/10.2320/matertrans.43.1426,From Table 1,
Al2O3,1143,O,2.690,(0/+),Valence Band,Vacancy,Th,https://doi.org/10.2320/matertrans.43.1426,From Table 1,
AlAs,2172,Al,1.105,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 5,
AlAs,2172,Al,1.548,(2-/-),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 5,
AlAs,2172,Al,2.039,(3-/2-),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 5,
AlAs,2172,Al,0.050,(3+/4+),Valence Band,Anti-site on As,Th,https://doi.org/10.2172/1039396,From Table 9,
AlAs,2172,Al,0.230,(2+/3+),Valence Band,Anti-site on As,Th,https://doi.org/10.2172/1039396,From Table 9,
AlAs,2172,Al,0.650,(+/2+),Valence Band,Anti-site on As,Th,https://doi.org/10.2172/1039396,From Table 9,
AlAs,2172,Al,0.960,(0/+),Valence Band,Anti-site on As,Th,https://doi.org/10.2172/1039396,From Table 9,
AlAs,2172,Al,1.980,(-/0),Valence Band,Anti-site on As,Th,https://doi.org/10.2172/1039396,From Table 9,
AlAs,2172,Al,2.070,(2-/-),Valence Band,Anti-site on As,Th,https://doi.org/10.2172/1039396,From Table 9,
AlAs,2172,Al,1.140,(2+/3+),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 11,
AlAs,2172,Al,0.840,(+/2+),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 11,
AlAs,2172,Al,2.370,(0/+),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 11,
AlAs,2172,Al,1.710,(-/0),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 11,
AlAs,2172,As,0.710,(2+/3+),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 6,
AlAs,2172,As,0.220,(+/2+),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 6,
AlAs,2172,As,1.620,(0/+),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 6,
AlAs,2172,As,1.320,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 6,
AlAs,2172,As,2.440,(2-/-),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 6,
AlAs,2172,As,2.170,(3-/2-),Valence Band,Vacancy,Th,https://doi.org/10.2172/1039396,From Table 6,
AlAs,2172,As,0.927,(+/2+),Valence Band,Anti-site on Al,Th,https://doi.org/10.2172/1039396,From Table 8,
AlAs,2172,As,1.240,(0/+),Valence Band,Anti-site on Al,Th,https://doi.org/10.2172/1039396,From Table 8,
AlAs,2172,As,2.510,(-/0),Valence Band,Anti-site on Al,Th,https://doi.org/10.2172/1039396,From Table 8,
AlAs,2172,As,2.190,(2-/-),Valence Band,Anti-site on Al,Th,https://doi.org/10.2172/1039396,From Table 8,
AlAs,2172,As,0.800,(2+/3+),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 12,
AlAs,2172,As,0.350,(+/2+),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 12,
AlAs,2172,As,1.470,(0/+),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 12,
AlAs,2172,As,1.210,(-/0),Valence Band,Interstitial,Th,https://doi.org/10.2172/1039396,From Table 12,
CdS,672,Cd,0.330,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.1063/1.372014,From Table II,
CdS,672,Cd,0.510,(2-/-),Valence Band,Vacancy,Th,https://doi.org/10.1063/1.372014,From Table II,
CdS,672,Cd,0.480,N/A,Valence Band,Vacancy,Th,urn:nbn:se:uu:diva-244964,From Table 4.1,
CdS,672,Cu,0.640,(-/0),Valence Band,Substitution of Cd,Th,https://doi.org/10.1063/1.372014,From Table II,
CdSe,2691,Cd,0.420,N/A,Valence Band,Vacancy,Th,urn:nbn:se:uu:diva-244964,From Table 4.1,
CdSeTe,N/A,Cd,0.220,(-/0),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdSeTe,N/A,Cd,0.710,(2-/-),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdTe,406,Cd,0.120,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.1063/1.372014,From Table II,
CdTe,406,Cd,0.270,(2-/-),Valence Band,Vacancy,Th,https://doi.org/10.1063/1.372014,From Table II,
CdTe,406,Cd,0.310,N/A,Valence Band,Vacancy,Th,urn:nbn:se:uu:diva-244964,From Table 4.1,
CdTe,406,Cu,0.140,(-/0),Valence Band,Substitution of Cd,Th,https://doi.org/10.1063/1.372014,From Table II,
CdZnS,1078780,Zn,0.180,(0/+),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnS,1078780,Zn,0.680,(-/0),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnS,1078780,Zn,1.280,(2-/-),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnS,1078780,Cd,0.100,(0/+),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnS,1078780,Cd,0.720,(-/0),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnS,1078780,Cd,1.260,(2-/-),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnSe,1078597,Zn,0.430,(-/0),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnSe,1078597,Zn,0.910,(2-/-),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnSe,1078597,Cd,0.470,(-/0),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnSe,1078597,Cd,0.920,(2-/-),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnTe,971837,Zn,0.080,(-/0),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnTe,971837,Zn,0.460,(2-/-),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnTe,971837,Cd,0.010,(-/0),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CdZnTe,971837,Cd,0.400,(2-/-),Valence Band,Vacancy,Th,https://doi.org/0.1021/acs.jpclett.7b02333,From Table S5 in Supporting Information,
CuInSe2,22811,Cu,0.030,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,Cu,0.290,(-/0),Valence Band,Anti-site on In,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,Cu,0.580,(2-/-),Valence Band,Anti-site on In,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,Cu,-0.200,(0/+),Conduction Band,Interstitial,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,In,0.170,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,In,0.410,(2-/-),Valence Band,Vacancy,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,In,0.670,(3-/2-),Valence Band,Vacancy,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,In,-0.250,(0/+),Conduction Band,Anti-site on Cu,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
CuInSe2,22811,In,-0.340,(+/2+),Conduction Band,Anti-site on Cu,Th,https://doi.org/10.1103/PhysRevB.57.9642,From Table II,
GaAs,2534,As,0.800,(0/+),Valence Band,Vacancy,Th,https://doi.org/10.1016/j.mee.2011.03.081,From Section 5,
GaAs,2534,As,1.000,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.1016/j.mee.2011.03.081,From Section 5,
GaAs,2534,Ga,0.200,(3-/2-),Valence Band,Vacancy,Th,https://doi.org/10.1016/j.mee.2011.03.081,From Section 4,
GaAs,2534,Ga,0.700,(2-/-),Valence Band,Vacancy,Th,https://doi.org/10.1016/j.mee.2011.03.081,From Section 4,
GaAs,2534,Ga,0.900,(-/0),Valence Band,Vacancy,Th,https://doi.org/10.1016/j.mee.2011.03.081,From Section 4,
GaN,804,Be,1.480,(-/0),Valence Band,Substitution of Ga,Th,https://doi.org/10.1063/1.3383236,From Table I,
GaN,804,Mg,0.620,(-/0),Valence Band,Substitution of Ga,Th,https://doi.org/10.1063/1.3383236,From Table I,
GaN,804,Zn,0.900,(-/0),Valence Band,Substitution of Ga,Th,https://doi.org/10.1063/1.3383236,From Table I,
Ge,32,Ga,0.650,(0/+),Valence Band,Interstitial,Exp,http://phys.au.dk/fileadmin/site_files/publikationer/phd/Martin_C_Petersen.pdf,From Table 4.1,
Ge,32,Ga,-0.300,(-/0),Conduction Band,Interstitial,Exp,http://phys.au.dk/fileadmin/site_files/publikationer/phd/Martin_C_Petersen.pdf,From Table 4.1,
Ge,32,Ge,0.300,(3-/2-),Valence Band,Vacancy,Th,http://phys.au.dk/fileadmin/site_files/publikationer/phd/Martin_C_Petersen.pdf,From Figure 4.1,
Ge,32,Ge,0.170,(2-/-),Valence Band,Vacancy,Th,http://phys.au.dk/fileadmin/site_files/publikationer/phd/Martin_C_Petersen.pdf,From Figure 4.1,
Ge,32,Ge,0.124,(-/0),Valence Band,Vacancy,Exp,http://phys.au.dk/fileadmin/site_files/publikationer/phd/Martin_C_Petersen.pdf,From Table 4.1,
Ge,32,Ge,-0.080,(0/+),Conduction Band,Interstitial,Exp,http://phys.au.dk/fileadmin/site_files/publikationer/phd/Martin_C_Petersen.pdf,From Table 4.1,
Ge,32,Ge,-0.240,(+/2+),Conduction Band,Interstitial,Exp,http://phys.au.dk/fileadmin/site_files/publikationer/phd/Martin_C_Petersen.pdf,From Table 4.1,
HfO2,352,H,6.019,(-/+),Valence Band,Interstitial,Th,https://doi.org/10.1016/j.tsf.2005.08.175,From Fig. 5c,
In2O3,22598,O,0.620,(0/2+),Valence Band,Vacancy,Th,https://doi.org/10.2320/matertrans.43.1426,From Table 1,
In2O3,22598,O,0.560,(+/2+),Valence Band,Vacancy,Th,https://doi.org/10.2320/matertrans.43.1426,From Table 1,
In2O3,22598,O,0.670,(0/+),Valence Band,Vacancy,Th,https://doi.org/10.2320/matertrans.43.1426,From Table 1,
La2O3,2292,H,5.737,(-/+),Valence Band,Interstitial,Th,https://doi.org/10.1016/j.tsf.2005.08.175,From Fig. 5c,
LaAlO3,2920,Al,0.170,(0/+),Valence Band,Anti-site on La,Th,https://doi.org/10.1103/PhysRevB.88.214117,From Section 3.D,
LaAlO3,2920,Al,0.040,(+/2+),Valence Band,Anti-site on La,Th,https://doi.org/10.1103/PhysRevB.88.214117,From Section 3.D,
LaAlO3,2920,Al,0.828,(-/+),Valence Band,Anti-site on La,Th,https://doi.org/10.1143/JJAP.51.041103,From Figure 4,
LaAlO3,2920,Al,2.419,(-/0),Valence Band,Anti-site on La,Th,https://doi.org/10.1143/JJAP.51.041103,From Figure 4,
LaAlO3,2920,H,5.611,(-/+),Valence Band,Interstitial,Th,https://doi.org/10.1016/j.tsf.2005.08.175,From Fig. 5c,
LaAlO3,2920,La,0.290,(3-/0),Valence Band,Vacancy,Th,https://doi.org/10.1103/PhysRevB.88.214117,From Section 3.B,
LaAlO3,2920,La,0.431,(-/+),Valence Band,Anti-site on Al,Th,https://doi.org/10.1143/JJAP.51.041103,From Figure 4,
LaAlO3,2920,La,2.408,(-/0),Valence Band,Anti-site on Al,Th,https://doi.org/10.1143/JJAP.51.041103,From Figure 4,
